valid_species_id,species_authority,group,year
12134,Dall,N_Temp-E.Pacific,1899
12134,Dall,Trop-E.Pacific,1899
12145,Thach,Trop-W.Pacific,2015
12146,Schultz & Huber,Trop-W.Pacific,2013
12147,Schultz & Huber,Trop-W.Pacific.Islands,2013
100004,G.B. Sowerby,Trop-IndianOcean,1892
100004,G.B. Sowerby,S_Temp-IndianOcean,1892
100005,Scarlato,N_Temp-W.Pacific,1965
100005,Scarlato,Trop-W.Pacific,1965
100006,Say,S_Temp-W.Atlantic,1822
100006,Say,N_Temp-W.Atlantic,1822
100006,Say,Trop-W.Atlantic,1822
100008,Habe,N_Temp-W.Pacific,1958
100008,Habe,Trop-W.Pacific,1958
100009,Scarlato,Trop-W.Pacific,1965
100011,E. A. Smith,S_Temp-W.Pacific,1885
100011,E. A. Smith,Trop-W.Pacific,1885
100012,von Cosel,Trop-E.Atlantic,1995
100014,Nickles,Trop-E.Atlantic,1955
100015,Nomura & Hatai,N_Temp-W.Pacific,1940
100015,Nomura & Hatai,Trop-W.Pacific,1940
100016,Nickles,Trop-E.Atlantic,1955
100017,Dall,S_Temp-W.Atlantic,1881
100017,Dall,N_Temp-W.Atlantic,1881
100017,Dall,Trop-W.Atlantic,1881
100018,Gould,N_Temp-W.Pacific,1861
100018,Gould,Trop-W.Pacific,1861
100019,A. Adams,S_Temp-W.Pacific.Islands,1856
100020,G.B. Sowerby,N_Temp-W.Pacific,1894
100020,G.B. Sowerby,Trop-W.Pacific,1894
100021,Mueller,N_Temp-E.Atlantic,1789
100023,Montagu,N_Temp-E.Atlantic,1808
100026,Recluz,N_Temp-E.Atlantic,1843
100027,Kuroda & Habe,N_Temp-W.Pacific,1958
100028,Habe,N_Temp-W.Pacific,1958
100028,Habe,Trop-W.Pacific,1958
100030,Montagu,N_Temp-E.Atlantic,1803
100031,Dautzenberg,Trop-IndianOcean,1923
100031,Dautzenberg,S_Temp-IndianOcean,1923
100032,A. Adams,N_Temp-W.Pacific,1856
100032,A. Adams,Trop-W.Pacific,1856
100032,A. Adams,Trop-IndianOcean,1856
100033,G.B. Sowerby III,Trop-IndianOcean,1894
100033,G.B. Sowerby III,S_Temp-IndianOcean,1894
100034,Dall,N_Temp-E.Pacific,1915
100034,Dall,Trop-E.Pacific,1915
100035,Wood,N_Temp-E.Atlantic,1802
100035,Wood,Trop-E.Atlantic,1802
100037,A. Adams,S_Temp-W.Pacific,1861
100038,Scacchi,N_Temp-E.Atlantic,1835
100038,Scacchi,N_Temp-W.Atlantic,1835
100038,Scacchi,Trop-W.Atlantic,1835
100039,Dautzenberg,Trop-E.Atlantic,1912
100040,Bronn,N_Temp-E.Atlantic,1832
100041,Philippi,S_Temp-W.Atlantic,1836
100041,Philippi,N_Temp-W.Atlantic,1836
100041,Philippi,Trop-W.Atlantic,1836
100042,Lamy,Trop-W.Pacific.Islands,1906
100042,Lamy,Trop-IndianOcean,1906
100044,Hedley,S_Temp-W.Pacific,1906
100044,Hedley,Trop-W.Pacific,1906
100045,Pilsbry,S_Temp-W.Atlantic,1897
100046,Linnaeus,N_Temp-E.Atlantic,1758
100047,Linnaeus,N_Temp-E.Atlantic,1758
100047,Linnaeus,N_Polar-Arctic,1758
100048,ter Poorten,Trop-W.Pacific,2009
100049,G.B. Sowerby II,N_Temp-E.Atlantic,1834
100050,Lightfoot,N_Temp-E.Atlantic,1786
100051,Linnaeus,N_Temp-E.Atlantic,1758
100053,Vidal,Trop-IndianOcean,1999
100054,G.B. Sowerby,S_Temp-W.Pacific,1840
100054,G.B. Sowerby,Trop-W.Pacific.Islands,1840
100054,G.B. Sowerby,Trop-W.Pacific,1840
100054,G.B. Sowerby,Trop-IndianOcean,1840
100054,G.B. Sowerby,S_Temp-IndianOcean,1840
100055,Bruguiere,Trop-W.Pacific.Islands,1789
100055,Bruguiere,S_Temp-W.Pacific,1789
100055,Bruguiere,N_Temp-W.Pacific,1789
100055,Bruguiere,Trop-W.Pacific,1789
100055,Bruguiere,Trop-IndianOcean,1789
100055,Bruguiere,S_Temp-IndianOcean,1789
100056,Dunker,N_Temp-W.Pacific,1877
100056,Dunker,Trop-W.Pacific,1877
100057,Deshayes,S_Temp-W.Pacific,1855
100057,Deshayes,Trop-W.Pacific,1855
100057,Deshayes,Trop-IndianOcean,1855
100058,Mellvill & Standen,Trop-W.Pacific.Islands,1899
100058,Mellvill & Standen,Trop-W.Pacific,1899
100058,Mellvill & Standen,Trop-IndianOcean,1899
100059,Vidal,Trop-W.Pacific,1998
100059,Vidal,Trop-IndianOcean,1998
100059,Vidal,S_Temp-IndianOcean,1998
100060,Vidal,Trop-W.Pacific.Islands,1999
100060,Vidal,Trop-W.Pacific,1999
100060,Vidal,Trop-IndianOcean,1999
100061,G.B. Sowerby II,S_Temp-W.Pacific,1834
100061,G.B. Sowerby II,N_Temp-W.Pacific,1834
100061,G.B. Sowerby II,Trop-W.Pacific,1834
100061,G.B. Sowerby II,Trop-IndianOcean,1834
100062,Healy & Lamprell,S_Temp-W.Pacific,1992
100063,Wood,N_Temp-W.Pacific,1815
100063,Wood,Trop-W.Pacific.Islands,1815
100063,Wood,Trop-W.Pacific,1815
100063,Wood,Trop-IndianOcean,1815
100064,Linnaeus,N_Temp-W.Atlantic,1758
100064,Linnaeus,Trop-W.Atlantic,1758
